wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
3840.0,-0.05045328752554248,-0.05597231562870353,5,0,-0.08795876283521964,-0.05597231562870353,-0.06623590666562129,-0.023536132949929067,-0.018563319548238866
3838.0,-0.05145920240812609,-0.05547398088781219,5,0,-0.08991179297342788,-0.05547398088781219,-0.06799286764149626,-0.02908180796488047,-0.014835562573013661
3836.0,-0.05044435422171265,-0.05563501510087576,5,0,-0.08918774025508025,-0.05563501510087576,-0.06659117402897663,-0.023674305394455253,-0.01713353632917536
3834.0,-0.04869236401836648,-0.05612917124043504,5,0,-0.08693408094864519,-0.05612917124043504,-0.06364330393551199,-0.014880175581334587,-0.021875088385905572
3832.0,-0.04745716178475319,-0.056470924028637626,5,0,-0.08527745889308425,-0.056470924028637626,-0.061375112335976034,-0.008908439316876349,-0.025253874349191685
3830.0,-0.046530577211729,-0.05645186971772831,5,0,-0.08411219432421713,-0.05645186971772831,-0.059920363668866106,-0.004716511603021223,-0.027451946744812217
3828.0,-0.04611701345822774,-0.05626026355465186,5,0,-0.08343366726130608,-0.05626026355465186,-0.05937454527236974,-0.0033498833284302254,-0.028166707874380803
3826.0,-0.046309586840101426,-0.05608589678884335,5,0,-0.08358450011496332,-0.05608589678884335,-0.05961558083791507,-0.004926241769521722,-0.027335714689263657
3824.0,-0.04760890260197472,-0.05615545335392946,5,0,-0.08493130372527191,-0.05615545335392946,-0.06133349286919465,-0.011307742313376501,-0.02431652074810109
3822.0,-0.04973611120081052,-0.05566411968651841,5,0,-0.08778339655230183,-0.05566411968651841,-0.06448271242982617,-0.022674581986439346,-0.018075745348966832
3820.0,-0.05009883364361323,-0.05443312590286409,5,0,-0.08937215610399041,-0.05443312590286409,-0.06562019153109477,-0.02686078255659874,-0.01420791212351813
3818.0,-0.04927336593427452,-0.05456386530339241,5,0,-0.08867097266560142,-0.05456386530339241,-0.06432627429533078,-0.02273761987950018,-0.016068097527547787
3816.0,-0.04858001195342787,-0.0552808355424268,5,0,-0.08782887221246272,-0.0552808355424268,-0.06267651041567812,-0.01826682609190744,-0.018847015504664277
3814.0,-0.04675517786624352,-0.05539783020969735,5,0,-0.08590529870354935,-0.05539783020969735,-0.05984110710261681,-0.00938043672362232,-0.023251216591731794
3812.0,-0.04506252682658092,-0.05537762335064689,5,0,-0.08347147580082281,-0.05537762335064689,-0.05759617830122665,-0.0015579488870089975,-0.027309407793199236
3810.0,-0.045427165425315996,-0.055773940008045475,5,0,-0.08315423866983584,-0.055773940008045475,-0.05792630208763194,-0.0030207065543883527,-0.027260639806678366
3808.0,-0.046951416304921126,-0.05592701590092508,5,0,-0.08494449594168763,-0.05592701590092508,-0.0596543070769302,-0.010565944681213857,-0.02366531792384885
3806.0,-0.04773426226359181,-0.05533954575346556,5,0,-0.08649494048110484,-0.05533954575346556,-0.06074639609284871,-0.015957309209220893,-0.020133119781319042
